KIDS,AGE,INCOME,HOMEVAL,MARSTATUS,GENDER,EDUCATION,TRAVTIME,CARUSE,CARTYPE,CLMFREQ,MVRPTS,CARAGE,CLAIMFLAG
0,44,62721,165941,Yes,F,Bachelors,42,Private,SUV,0,0,4,No
0,48,58132,0,No,F,HighSchool,32,Private,SUV,3,3,1,Yes
0,47,0,0,No,F,Lower,18,Private,Minivan,0,0,6,No
1,40,47841,0,No,F,Bachelors,42,Private,SUV,4,4,7,Yes
1,39,117329,0,No,M,Bachelors,37,Private,Minivan,2,8,12,Yes
0,47,48517,220943,Yes,F,Lower,33,Private,SUV,2,2,1,No
0,45,77865,209526,Yes,F,Lower,14,Private,Minivan,0,1,7,No
1,43,39564,205645,Yes,M,HighSchool,30,Commercial,PanelTruck,4,0,4,Yes
0,50,104831,0,No,M,Masters,31,Commercial,Pickup,2,3,16,No
0,31,52714,159142,Yes,M,HighSchool,33,Private,Minivan,1,3,7,No
0,32,0,0,No,F,Masters,49,Private,Minivan,4,9,18,Yes
0,43,67891,199571,Yes,F,Masters,22,Private,SUV,0,0,8,Yes
0,45,60945,189813,Yes,F,Masters,27,Commercial,Van,0,0,28,No
0,35,29250,159239,Yes,F,HighSchool,45,Commercial,Pickup,0,1,7,No
0,41,125603,280181,Yes,F,Masters,22,Private,SUV,0,0,17,No
0,37,80997,0,No,M,Bachelors,47,Commercial,Van,0,0,7,No
0,34,34135,0,No,F,HighSchool,40,Private,SUV,0,0,1,No
0,31,92817,0,No,M,Masters,26,Private,Pickup,0,0,18,No
0,35,8746,127941,Yes,F,HighSchool,50,Commercial,SUV,0,6,1,Yes
0,35,60075,184673,No,F,Masters,16,Private,SportsCar,1,3,18,No
0,35,81630,232014,Yes,F,Bachelors,71,Private,SUV,0,0,6,No
0,26,53244,0,No,M,Bachelors,28,Commercial,Van,1,1,8,Yes
0,50,36504,209726,No,F,Lower,35,Private,SUV,0,0,3,No
0,42,115584,296239,No,M,Masters,18,Commercial,PanelTruck,0,0,14,No
0,52,86498,287091,Yes,F,Bachelors,49,Commercial,Pickup,0,2,14,No
0,29,0,0,Yes,F,HighSchool,42,Private,SUV,0,0,1,No
0,31,66592,175461,Yes,M,Bachelors,52,Private,Van,0,0,12,No
0,46,45237,184819,Yes,F,Lower,29,Private,SportsCar,3,2,1,No
0,26,24722,0,No,F,Lower,28,Private,SUV,0,1,4,Yes
0,35,76488,233303,Yes,F,HighSchool,43,Private,Minivan,0,2,9,No
0,39,76150,219917,Yes,M,Bachelors,39,Commercial,Minivan,0,5,8,No
0,47,78953,233925,Yes,M,Bachelors,23,Commercial,Van,0,1,8,No
0,57,119975,339052,Yes,F,PhD,40,Private,SUV,0,0,13,Yes
0,52,106942,0,No,F,PhD,30,Private,SUV,0,2,15,No
0,41,98385,331428,Yes,F,Masters,45,Private,Minivan,0,0,19,No
0,50,53568,202687,Yes,M,Bachelors,37,Commercial,Minivan,0,0,7,No
0,44,24469,128238,Yes,M,Lower,5,Commercial,PanelTruck,0,4,6,Yes
0,56,37352,0,No,M,Masters,40,Private,Minivan,0,0,20,No
0,51,91428,309772,Yes,M,Masters,50,Private,Minivan,0,2,9,No
0,37,5678,0,No,F,Lower,42,Private,SUV,2,1,1,Yes
0,29,86159,232132,Yes,M,Bachelors,29,Commercial,Van,0,2,8,No
1,46,84667,236725,Yes,F,Bachelors,56,Commercial,PanelTruck,0,0,7,No
0,42,7804,0,No,F,HighSchool,25,Private,SUV,1,2,8,Yes
2,41,0,0,No,F,Masters,19,Private,SportsCar,0,3,17,Yes
0,42,60304,215405,Yes,F,HighSchool,23,Private,Minivan,2,1,9,No
