"veh_value","exposure","clm","veh_body","veh_age","gender","area","agecat"
3.33,0.7337440109,"0","HBACK","2","M","F","3"
0.99,0.8213552361,"1","SEDAN","3","F","A","4"
3.44,0.7364818617,"1","TRUCK","2","F","F","4"
2.5,0.681724846,"0","STNWG","3","M","C","6"
0.56,0.3066392882,"0","SEDAN","4","F","A","6"
4.05,0.1149897331,"1","STNWG","2","M","C","2"
1.49,0.5831622177,"0","HBACK","1","F","B","1"
0.35,0.8158795346,"1","HBACK","4","F","A","5"
1.04,0.8569472964,"0","HBACK","2","F","A","1"
2.12,0.9801505818,"1","SEDAN","2","F","A","4"
0.66,0.3121149897,"0","HBACK","4","F","C","3"
2.5,0.8021902806,"1","STNWG","2","M","B","5"
1.05,0.6214921287,"0","SEDAN","4","M","B","3"
1.55,0.3312799452,"0","SEDAN","2","M","F","6"
0.69,0.8898015058,"1","COUPE","4","F","C","2"
0.7,0.5612594114,"1","HBACK","4","M","A","4"
1.18,0.0876112252,"0","SEDAN","3","M","B","6"
2.07,0.1396303901,"0","UTE","3","M","D","3"
0.34,0.1232032854,"0","HBACK","4","M","D","5"
1.8,0.386036961,"0","UTE","3","M","D","2"
1.49,0.4818617385,"0","HBACK","1","F","C","2"
1.57,0.386036961,"0","HBACK","1","M","A","1"
1.54,0.5201916495,"0","HBACK","3","F","A","3"
0.92,0.8459958932,"1","HBACK","3","F","A","3"
0.96,0.7802874743,"1","STNWG","4","F","C","3"
1.6835,0.5859000684,"0","HBACK","1","M","B","1"
2.04,0.3997262149,"1","STNWG","2","F","B","2"
0.9,0.5065023956,"1","HBACK","3","F","A","5"
1.64,0.977412731,"1","SEDAN","2","F","B","2"
1.29,0.2847364819,"1","STNWG","4","F","F","4"
1.48,0.2354551677,"0","HBACK","1","F","C","2"
0.81,0.7446954141,"1","HBACK","3","M","C","3"
1.33,0.9993155373,"0","STNWG","4","M","A","3"
0.6,0.6023271732,"0","SEDAN","4","M","C","2"
1.17,0.7036276523,"0","SEDAN","3","F","B","4"
1.83,0.6105407255,"1","STNWG","4","M","B","4"
2.29,0.643394935,"1","HDTOP","3","M","E","4"
3.4,0.7419575633,"0","TRUCK","2","M","A","2"
0.99,0.810403833,"1","SEDAN","4","F","A","4"
1.43,0.1943874059,"0","SEDAN","2","F","D","4"
1.17,0.4928131417,"0","HBACK","2","M","A","6"
1.63,0.5420944559,"1","HBACK","2","F","B","2"
3.64,0.1067761807,"0","STNWG","3","M","D","2"
1.19,0.5037645448,"0","SEDAN","3","F","D","2"
1.81,0.9171800137,"1","SEDAN","2","F","B","3"
3.91,0.5393566051,"0","UTE","1","M","A","3"
1.34,0.7912388775,"1","STNWG","4","F","C","3"
1.73,0.3258042437,"0","HBACK","3","F","C","3"
1.07,0.9445585216,"0","SEDAN","3","F","E","5"
1.38,0.0273785079,"0","HBACK","1","F","E","3"
1.99,0.1806981519,"0","HBACK","2","F","A","3"
1.72,0.6652977413,"0","UTE","2","M","C","2"
2.38,0.5229295003,"0","SEDAN","1","M","A","4"
2.5,0.8377823409,"0","STNWG","2","F","D","6"
2.71,0.7967145791,"0","STNWG","2","M","D","5"
0.46,0.076659822,"0","HBACK","4","F","A","6"
1.41,0.772073922,"0","HBACK","1","F","D","1"
1.55,0.5995893224,"0","COUPE","4","M","C","3"
1.02,0.6899383984,"1","HBACK","4","F","A","1"
0.97,0.9801505818,"1","SEDAN","3","F","D","2"
4.28,0.2108145106,"1","STNWG","2","M","F","2"
2.78,0.0574948665,"0","STNWG","2","F","C","3"
1.47,0.9308692676,"1","SEDAN","3","M","C","1"
5.236,0.9993155373,"0","STNWG","1","F","A","5"
1.72,0.7036276523,"1","HBACK","2","F","A","3"
0.93,0.6872005476,"0","SEDAN","3","M","A","5"
1.79,0.7501711157,"0","STNWG","4","F","A","2"
0.44,0.8815879535,"1","MIBUS","4","F","C","3"
2.46,0.462696783,"0","UTE","2","M","C","2"
2.18,0.7364818617,"0","STNWG","3","F","C","3"
0.61,0.6242299795,"1","SEDAN","4","F","C","5"
10.9,0.4572210814,"1","SEDAN","1","M","A","1"
2.47,0.2600958248,"1","SEDAN","1","F","C","5"
1.01,0.5174537988,"1","HBACK","3","F","E","1"
0.66,0.476386037,"1","COUPE","4","M","C","2"
2.24,0.2464065708,"0","HBACK","1","F","A","5"
0.4,0.8295687885,"1","STNWG","4","M","B","3"
1.19,0.6926762491,"1","STNWG","4","F","B","1"
2.12,0.6078028747,"1","SEDAN","1","F","D","3"
1.27,0.5092402464,"1","HBACK","2","F","D","4"
1.32,0.1095140315,"0","HBACK","3","M","D","2"
1.04,0.0602327173,"0","HBACK","4","F","A","2"
4.48,0.1177275838,"0","STNWG","1","F","A","3"
1.28,0.7857631759,"1","SEDAN","3","F","B","4"
0.73,0.7364818617,"0","MIBUS","4","M","F","4"
4.84,0.1724845996,"0","STNWG","1","M","D","5"
1.14,0.3887748118,"0","SEDAN","3","F","A","4"
3.34,0.3969883641,"0","STNWG","3","F","F","6"
1.72,0.1752224504,"0","STNWG","2","M","B","4"
2.79,0.9993155373,"1","HDTOP","3","M","C","5"
1.13,0.5037645448,"0","STNWG","3","M","B","6"
0.65,0.3093771389,"0","HBACK","4","M","E","4"
1.63,0.3942505133,"0","HBACK","2","M","A","4"
2.91,0.8268309377,"0","TRUCK","2","M","E","2"
2.05,0.0191649555,"0","SEDAN","1","M","D","6"
1.57,0.8898015058,"1","HBACK","2","M","A","6"
3.4,0.5448323066,"1","STNWG","3","M","A","4"
0.63,0.2874743326,"0","SEDAN","4","M","B","1"
1.97,0.5886379192,"1","SEDAN","3","F","A","6"
5.553,0.8459958932,"1","STNWG","1","F","C","5"
