"veh_value","exposure","veh_body","veh_age","gender","area","agecat"
2.77,0.4407939767,"MIBUS","3","M","B","3"
0.86,0.0958247775,"TRUCK","4","M","C","5"
4.27,0.0273785079,"STNWG","2","F","A","4"
2.47,0.2902121834,"HDTOP","3","F","D","4"
1.43,0.2546201232,"HBACK","2","F","B","1"
2.03,0.9719370294,"SEDAN","1","F","D","3"
7.54,0.1752224504,"STNWG","1","M","C","3"
1.28,0.9746748802,"STNWG","4","F","C","3"
0.47,0.8405201916,"HBACK","4","F","B","4"
0.64,0.772073922,"HBACK","4","M","D","2"
1.74,0.3586584531,"SEDAN","2","F","A","5"
0.39,0.6625598905,"SEDAN","4","F","C","5"
1.68,0.0547570157,"UTE","4","M","E","1"
1.01,0.1122518823,"SEDAN","3","M","B","2"
2.45,0.3258042437,"STNWG","3","M","F","3"
1.02,0.643394935,"HBACK","3","M","C","3"
1.19,0.8624229979,"HBACK","2","F","A","2"
1.73,0.2683093771,"MIBUS","4","F","B","4"
2.7,0.7118412047,"HBACK","1","M","A","2"
2.75,0.2819986311,"STNWG","3","F","C","3"
1.23,0.6269678303,"HBACK","3","M","B","4"
2.27,0.9089664613,"SEDAN","2","M","A","6"
0.95,0.5311430527,"SEDAN","3","F","F","1"
0.82,0.9336071184,"HBACK","4","M","A","5"
1.65,0.8925393566,"SEDAN","1","M","C","2"
4.23,0.3613963039,"STNWG","2","M","A","3"
2.75,0.3586584531,"STNWG","1","F","B","4"
1,0.3093771389,"HBACK","2","M","C","2"
0.46,0.2792607803,"COUPE","4","F","A","2"
0.7,0.9555099247,"STNWG","4","M","E","6"
1.17,0.8213552361,"SEDAN","3","F","C","5"
0.72,0.9664613279,"STNWG","4","F","E","3"
3.04,0.6707734428,"TRUCK","3","M","E","2"
1.49,0.4216290212,"SEDAN","3","F","A","6"
0.77,0.9418206708,"HBACK","3","F","C","2"
4.18,0.3504449008,"STNWG","2","F","F","3"
5,0.514715948,"MCARA","4","M","D","5"
2.65,0.7036276523,"SEDAN","2","F","C","4"
1.52,0.9308692676,"HBACK","2","F","C","4"
1.28,0.090349076,"HBACK","1","M","C","4"
1.06,0.424366872,"HBACK","4","F","A","1"
1.56,0.4517453799,"SEDAN","2","M","E","6"
1.33,0.8405201916,"SEDAN","3","F","C","5"
1.32,0.2464065708,"SEDAN","3","F","B","4"
1.45,0.5284052019,"HBACK","2","F","B","4"
2.02,0.7310061602,"SEDAN","1","M","A","6"
2.51,0.9418206708,"STNWG","1","F","C","2"
0.88,0.0602327173,"HBACK","3","F","C","5"
1.08,0.810403833,"SEDAN","3","F","A","6"
0.43,0.4681724846,"HBACK","4","F","A","3"
2.88,0.2354551677,"TRUCK","3","M","F","5"
0.99,0.2436687201,"SEDAN","4","F","B","4"
0.76,0.7145790554,"HBACK","3","F","C","3"
0.31,0.1697467488,"HBACK","4","F","B","4"
1.28,0.7775496235,"TRUCK","4","M","E","2"
0.55,0.3121149897,"SEDAN","4","F","C","5"
3.19,0.205338809,"UTE","3","M","F","1"
2.54,0.5475701574,"STNWG","3","M","C","6"
1.67,0.7556468172,"HBACK","3","F","B","5"
2.06,0.6488706365,"SEDAN","2","F","C","2"
0.62,0.0848733744,"TRUCK","4","M","A","3"
1.37,0.5119780972,"HBACK","1","M","C","5"
0.73,0.9856262834,"HBACK","4","F","C","6"
0.68,0.5119780972,"HBACK","4","F","B","2"
0.82,0.7611225188,"HBACK","4","F","A","6"
2.07,0.2217659138,"HDTOP","3","F","E","3"
0.77,0.2628336756,"SEDAN","4","M","B","6"
0.69,0.7556468172,"HBACK","4","F","C","3"
1.58,0.8542094456,"HBACK","3","F","C","5"
3.3,0.6872005476,"UTE","2","M","E","3"
1.53,0.1149897331,"TRUCK","1","M","A","4"
1.59,0.3121149897,"SEDAN","1","F","C","6"
0.78,0.9746748802,"HBACK","3","F","C","2"
2.7,0.8706365503,"STNWG","2","F","B","2"
1.85,0.1259411362,"UTE","3","F","E","4"
0.78,0.3887748118,"HBACK","4","F","B","6"
1.35,0.720054757,"TRUCK","2","M","A","4"
0.48,0.5859000684,"SEDAN","4","M","B","5"
2.77,0.8076659822,"STNWG","1","F","A","3"
0.7,0.1341546886,"COUPE","4","F","B","4"
0.97,0.5174537988,"SEDAN","3","M","E","4"
1.93,0.6926762491,"SEDAN","2","F","D","4"
1.15,0.6160164271,"HBACK","3","F","C","2"
4.63,0.7392197125,"STNWG","1","M","D","2"
0.88,0.2080766598,"SEDAN","3","F","C","4"
1.08,0.8980150582,"SEDAN","3","F","C","6"
0.62,0.5229295003,"STNWG","4","M","B","5"
1.94,0.3039014374,"HBACK","1","F","B","3"
1.14,0.3066392882,"SEDAN","3","F","B","6"
1.62,0.0438056126,"SEDAN","2","M","B","3"
3.59,0.2710472279,"SEDAN","4","F","F","3"
1.25,0.501026694,"SEDAN","4","F","A","3"
2.54,0.9527720739,"STNWG","3","F","F","4"
0.46,0.4462696783,"SEDAN","4","F","A","6"
1.86,0.0711841205,"SEDAN","2","F","C","5"
1.92,0.4188911704,"STNWG","2","F","D","4"
3.96,0.6324435318,"STNWG","2","F","C","5"
1.07,0.7255304586,"SEDAN","4","F","B","4"
1.56,0.3531827515,"COUPE","4","M","A","4"
1.41,0.9993155373,"SEDAN","2","F","C","6"
0.9,0.0876112252,"SEDAN","3","F","E","6"
0.99,0.7994524298,"HBACK","4","M","C","6"
1.36,0.1368925394,"HBACK","2","M","D","3"
1.6,0.2765229295,"PANVN","2","M","A","6"
3.86,0.1697467488,"HDTOP","2","F","D","5"
0.91,0.0739219713,"HBACK","3","F","C","2"
1.04,0.8158795346,"HBACK","2","F","A","2"
0.91,0.3258042437,"SEDAN","3","F","C","3"
